"Restaurant ID","Restaurant name","Subzone","City","Overview","Metric","15 Jun, 2026"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Sales","Delivered orders","45"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Sales","Sales (Rs)","13948.3603515625"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Sales","Market share (%)","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Average rating","3.9251999855041504"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Rated orders","3"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Bad orders","2"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Rejected orders","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","KPT+10 delayed orders","2"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Poor rated orders","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Total complaints","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Non-refunded complaints","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Total complaints - Poor packaging","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Total complaints - Poor quality","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Total complaints - Wrong order","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Total complaints - Missing items","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Self logs other ors","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Lost sales (Rs)","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Online %","100"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","Offline time (in hours)","0"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","KPT (in minutes)","21.4271"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer experience","FOR accuracy (%)","91.1"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer funnel","Impressions","3146"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer funnel","Impressions to menu (%)","8.9"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer funnel","Menu opens","280"
"18980129","Suraj Chinese Corner","Matunga East","Mumbai","Customer funnel","Menu to cart (%)","46.1"
